layer,score,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
logits,0.23713525420502418,base=curvature filters (n=180)-type=engineered-zscore-1000components,bonner.Object2Vec.RSA,12.197068060794903,92.57292332578486,engineered,reliable
logits,0.20116052895453454,base=edge filters (n=180)-type=engineered-zscore-1000components,bonner.Object2Vec.RSA,9.41512511195165,50.05537350517653,engineered,reliable
logits,0.24291218419105665,base=random filters (n=180)-type=engineered-zscore-1000components,bonner.Object2Vec.RSA,7.446007232296384,27.578760368479948,engineered,reliable
logits,0.25643810039765247,base=curvature filters (n=180)-type=engineered-1000components,bonner.Object2Vec.RSA,7.0588187459396705,7.873873488307533,engineered,reliable
logits,0.2640904070152225,base=edge filters (n=180)-type=engineered-1000components,bonner.Object2Vec.RSA,7.798720293432602,9.538119254879243,engineered,reliable
logits,0.2047856577242797,base=random filters (n=180)-type=engineered-1000components,bonner.Object2Vec.RSA,4.44047235300642,4.525785796365499,engineered,reliable
logits,0.18652216568760155,base=raw pixels-type=engineered-1000components,bonner.Object2Vec.RSA,8.624966809103906,9.117470464676916,engineered,reliable
conv1,0.26802559733826686,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,27.77332852875596,62.94765796468307,supervised,reliable
conv3,0.3377048986612541,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,42.155045097012305,170.8610374588182,supervised,reliable
conv5,0.33481874469051875,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,48.25643701995393,131.0418175461601,supervised,reliable
fc7,0.34523103312939923,base=alexnet-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,36.82125183369466,229.83204545540787,supervised,reliable
block1,0.2911799641041728,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,10.762921082263395,48.728309223012964,supervised,reliable
block2,0.3031999231619712,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,16.85102093051158,105.62535938405334,supervised,reliable
block3,0.33298125088377795,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,40.702013131830334,150.96343877964935,supervised,reliable
block4,0.30809310979551574,base=resnet50-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,51.17729908446412,187.35290266433907,supervised,reliable
block1,0.2828225720066155,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,14.905346893750659,40.53017731307298,supervised,reliable
block2,0.29872378939010513,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,27.91971835832083,95.14418655957896,supervised,reliable
block3,0.33313991926471315,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,63.033605117117474,118.27160974048603,supervised,reliable
block4,0.32422806298990986,base=resnet18-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,62.61737506958664,170.5378854240871,supervised,reliable
conv1,0.15402860612856967,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,9.994299464207312,19.233390590155388,supervised,reliable
conv3,0.15734497549462573,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,6.967043999267492,13.405601550329044,supervised,reliable
conv5,0.16308529755056195,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,8.746446265047895,15.875671830021266,supervised,reliable
fc7,0.18602233490266223,base=alexnet (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,11.659498524298177,17.32570485951217,supervised,reliable
block1,0.230989931602455,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,7.74487946664832,23.391938779488758,supervised,reliable
block2,0.23167464364064655,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,6.563835207299089,33.47223237884626,supervised,reliable
block3,0.22607653929034421,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,5.608048544348533,60.919974788027936,supervised,reliable
block4,0.20943440354172277,base=resnet50 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,5.785929229876039,28.25176587303287,supervised,reliable
block1,0.22982114149961202,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,9.763388423139462,19.991783314731073,supervised,reliable
block2,0.216701704308237,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,9.64686908012742,20.608048724224247,supervised,reliable
block3,0.1829562105899962,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,12.465565720068852,25.76083100564198,supervised,reliable
block4,0.17991100596396342,base=resnet18 (untrained)-type=supervised-zscore-1000components,bonner.Object2Vec.RSA,16.92959812664385,51.386119419465906,supervised,reliable
conv1,0.24425503817058022,base=alexnet-type=supervised-1000components,bonner.Object2Vec.RSA,16.99570987652469,27.65924179012877,supervised,reliable
conv3,0.34015815346601325,base=alexnet-type=supervised-1000components,bonner.Object2Vec.RSA,33.67783005934383,139.34613635536041,supervised,reliable
conv5,0.29765229790305525,base=alexnet-type=supervised-1000components,bonner.Object2Vec.RSA,39.82085255456266,110.6779043447512,supervised,reliable
fc7,0.34554314259366814,base=alexnet-type=supervised-1000components,bonner.Object2Vec.RSA,35.101125529826554,227.13645028334082,supervised,reliable
block1,0.2937570118547002,base=resnet50-type=supervised-1000components,bonner.Object2Vec.RSA,10.610320216360867,29.529389436605022,supervised,reliable
block2,0.28115123127290914,base=resnet50-type=supervised-1000components,bonner.Object2Vec.RSA,13.80932245783822,55.59662547984754,supervised,reliable
block3,0.2877256620511245,base=resnet50-type=supervised-1000components,bonner.Object2Vec.RSA,34.794391605130535,114.69687913791196,supervised,reliable
block4,0.3185956582036486,base=resnet50-type=supervised-1000components,bonner.Object2Vec.RSA,53.067644020972565,182.26800494561527,supervised,reliable
block1,0.27257949915764335,base=resnet18-type=supervised-1000components,bonner.Object2Vec.RSA,13.287526487094574,23.12907609403569,supervised,reliable
block2,0.27343063981688687,base=resnet18-type=supervised-1000components,bonner.Object2Vec.RSA,22.553229365599933,56.05575421323803,supervised,reliable
block3,0.25734028809120313,base=resnet18-type=supervised-1000components,bonner.Object2Vec.RSA,41.50772265366491,67.89410151786119,supervised,reliable
block4,0.3142818884549661,base=resnet18-type=supervised-1000components,bonner.Object2Vec.RSA,60.67427156811946,163.75875080664545,supervised,reliable
conv1,0.18041578082477439,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,12.517086507383818,14.84222331904795,supervised,reliable
conv3,0.1878608341421338,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,6.662043566717231,10.09265257212421,supervised,reliable
conv5,0.178107492678758,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,5.892561252981324,8.233365857645616,supervised,reliable
fc7,0.18366386596980327,base=alexnet (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,8.578913403257891,11.89220551473817,supervised,reliable
block1,0.1995000675163206,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,7.052530122457591,8.252314307063202,supervised,reliable
block2,0.16193860068312696,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,4.795079277945793,4.299677831350609,supervised,reliable
block3,0.1578485091545078,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,2.549093766485306,2.3045946620221507,supervised,reliable
block4,0.14957031964766068,base=resnet50 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,1.9605802800478407,1.9151193044196406,supervised,reliable
block1,0.2184966733116077,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,7.4972829290134415,8.667985483061925,supervised,reliable
block2,0.19340266160262332,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,5.948969182239369,6.034078865576757,supervised,reliable
block3,0.1636009200417762,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,5.418235165576911,4.014160126918305,supervised,reliable
block4,0.14370598546003324,base=resnet18 (untrained)-type=supervised-1000components,bonner.Object2Vec.RSA,4.345521992708137,3.693635748180003,supervised,reliable
block1,0.2956537555414832,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,9.444567584102641,59.488059369553305,unsupervised,reliable
block2,0.3071127385273387,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,14.12919629832828,143.96704249087503,unsupervised,reliable
block3,0.3483693934485683,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,34.82079696840489,110.57875524211012,unsupervised,reliable
block4,0.2956028547487295,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,31.037020651884692,207.73351692841365,unsupervised,reliable
block1,0.28284653189461423,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,9.02321314659274,43.612514662310126,unsupervised,reliable
block2,0.3177066654144579,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,15.682259471818881,112.93197779882912,unsupervised,reliable
block3,0.3385704319414162,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,38.369155337391696,117.51407091538088,unsupervised,reliable
block4,0.3321703100694564,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.RSA,46.12970039011117,390.76025581351183,unsupervised,reliable
block1,0.30038167131430793,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,11.14176112403355,37.35552304646143,unsupervised,reliable
block2,0.302282543899377,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,12.55209896739505,73.03678414296142,unsupervised,reliable
block3,0.3348614294952025,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,32.41703370650006,101.75702049250971,unsupervised,reliable
block4,0.3084875314680864,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.RSA,33.94944319713839,208.22446397460564,unsupervised,reliable
block1,0.2881088543481511,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,9.592999335399416,29.788398572325004,unsupervised,reliable
block2,0.30875417577408437,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,14.372754078360849,75.82112114569289,unsupervised,reliable
block3,0.33051021864530555,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,35.15478867764124,111.00545268232116,unsupervised,reliable
block4,0.3450702408059991,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.RSA,62.823415096329796,356.9351244451548,unsupervised,reliable
