layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,EBA,EVC,FFA,LOC,OFA,OPA,PFS,PPA,RSC,STS
encode_1,0.3132465193058767,0.0037571431675195,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",19.818357006303497,89.97359217845607,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3239069866952788,0.36286802574252214,0.33633136665896884,0.38657433731069213,0.38681129242488804,0.3046144496402256,0.27535219241466596,0.297972677301284,0.18035142001189416,0.2207677274828933
encode_1.conv,0.2868700051511389,0.0038001989614414,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",13.20726288723605,100.2374844587045,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3221980813089209,0.2829856611114355,0.3340331625079571,0.39044073242338073,0.36858214337747064,0.25388250662416045,0.2752115064446254,0.22360960154912052,0.17747212110603613,0.1650971352127175
encode_2,0.3641274250087293,0.0041694991816552,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.048256601556663,276.181491240111,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3848235860716462,0.4022168726078148,0.35852227316934937,0.459857070315001,0.462420072874325,0.36230497321190874,0.2946251957901019,0.36624627749795147,0.22867710837260108,0.25438033119230474
encode_3,0.3838043259383228,0.0043203199190933,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",30.01118666809185,623.8813004925357,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3927463302235146,0.4176320773101586,0.3741997216024293,0.4856013764105588,0.4949097196377799,0.39163961483851606,0.3386495374370604,0.3875228368747004,0.2068410090450951,0.2929678136396047
encode_4,0.4038790151220315,0.0044723708166431,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",31.914942865130826,525.4846251732583,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3938999399627764,0.4446420853362884,0.395096905008718,0.5478593539364238,0.5196488848240151,0.3837674470806963,0.3809030607454871,0.39828710147168067,0.2096613979335021,0.30446211641898835
encode_5,0.4224854808326339,0.0046064706880368,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",30.10840958639129,676.2756978212252,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.41144558660967956,0.41996400757667285,0.4114743747401848,0.5651725668015519,0.5307108724523001,0.43547951271357865,0.4068460241218748,0.4462271689568952,0.23230692908799636,0.2740236714618269
encode_6,0.4386257242496759,0.0045832581215793,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",34.12337120704819,359.1391945794793,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.41205792834066696,0.45456844650063527,0.4011236181392749,0.5855203731158007,0.5512083263894145,0.45930184017160025,0.404030459860507,0.46873242837855167,0.26759290099826183,0.29183136578734525
encode_7,0.4348551552862792,0.0045986042645814,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",26.272457535128275,439.2157757851501,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3937112311783781,0.4733167887194002,0.38451036722160403,0.585372349199212,0.554082312274754,0.473510199878468,0.38370809074043677,0.4739950372599703,0.25140806921180264,0.2788635190886264
encode_8,0.4356021251464956,0.0046391712429481,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",32.3892748161692,427.5878502889277,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.42048557122919217,0.47510116605201147,0.39084680357511103,0.5803306367305139,0.5482781929360924,0.5056781936342737,0.3549673446429363,0.48036489563825246,0.22140571206887183,0.28720427459412456
encode_9,0.4452913452495158,0.0043934985732236,resnet18-supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",51.25732520276732,313.8762749108132,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.42986475644231004,0.46762844112876345,0.40916567509430635,0.5847587063506663,0.5391855393517455,0.5182306287072276,0.4240263790098172,0.4972159645208588,0.19132283735150343,0.30576586451286575
encode_1,0.2934067014591641,0.003585944043523,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.19052898424404,57.01257891167812,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31336095261157704,0.35447931834493906,0.3165530780929232,0.3440573210196249,0.3632195086042407,0.2941694019182707,0.24806453522020586,0.2707645102766343,0.16517582682047058,0.21813656855691127
encode_1.conv,0.263293117791466,0.0038591940421409,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.74087094419823,52.48986627323789,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3141209221521677,0.2672916700070777,0.3119614564831755,0.34601080415682905,0.33821246069690175,0.22157750676513527,0.23987502200773375,0.19730437221930713,0.17560271136290279,0.15283442913043122
encode_2,0.3399313553524158,0.003988360365655,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.06600140318216,216.9292577130078,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.36043975225960107,0.41049874340396353,0.33363852098354807,0.4093761695951056,0.42042885051537954,0.3469958369039975,0.2538217121503274,0.34497471937762303,0.21047518831821813,0.25978152559872486
encode_3,0.3905167885754025,0.0042509945138636,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",30.18227082307237,627.9908497171853,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4105937918054759,0.42385610618724223,0.36754583690989173,0.47187595185425557,0.476529879060616,0.4185198298243292,0.32244661350583526,0.42431725016331223,0.24127646621756144,0.28078710337776364
encode_4,0.3992630534517111,0.0045936763804248,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",29.166491536868584,454.6930603965079,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4192704005126819,0.4259046298309417,0.3761559357579566,0.5110163755853463,0.5156899067314649,0.39590957523678605,0.34638149612317004,0.41314135761468035,0.23510906178236654,0.2822958338122993
encode_5,0.4186537920702374,0.004698031740855,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",26.98118477651173,560.4546395422608,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.43376583070024444,0.44201004511925923,0.39448394122134667,0.5445375510917307,0.5288486549310828,0.4439560964742463,0.35367407574200993,0.4452271487499238,0.23642603932654033,0.2758895532284576
encode_6,0.4231514869078513,0.0046970186349894,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",21.14760797747803,241.50848101711287,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4021987189591092,0.4352107505919323,0.39385372735744356,0.5623756418844941,0.5285625778887876,0.4506672492012676,0.3867434721391576,0.4558899870658042,0.25838645697433027,0.25218759579215877
encode_7,0.4159781787187248,0.0046103342856619,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.120354724628983,54.92261013825796,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3871603650931646,0.4343050137826447,0.3785505918871211,0.5570822706497681,0.5192130563665565,0.46001339646677253,0.37070107509507677,0.45193036061128733,0.24653336877480625,0.2550356374423824
encode_8,0.4493688319572056,0.0045074028590894,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",1.9935412667817416,16.04707199557393,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4176802625023722,0.4492716110883133,0.41158712905451783,0.5911268250880161,0.5689855291431618,0.5110686302013148,0.3803881863789147,0.5168539517781626,0.2613709474918055,0.2823786862151878
encode_9,0.4051950790458553,0.0043192161841161,resnet18-la-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",44.98646120923697,290.50594356437296,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3793741686672003,0.38173625273978673,0.3652126067016269,0.5189104999871359,0.5097708381299565,0.480332947101994,0.3213389902836713,0.4911725319726387,0.252770820265001,0.26465665938180505
encode_1,0.3079349873088844,0.0036519143536901,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.089952809945707,73.82007516352552,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3172422027376445,0.3702070495031339,0.32996278983169236,0.36335795931112636,0.3802821622560929,0.31446285839762667,0.26199633779598547,0.2951134688716309,0.17299303191920518,0.21918911618672532
encode_1.conv,0.2914795765871844,0.0039843239285987,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",11.885134713252077,103.61080027603973,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.33567235197638834,0.2917187623151742,0.3392986209647352,0.42034889557388194,0.38275583266179547,0.24826845265237857,0.27624844028152856,0.20771971970322248,0.17224432507716148,0.15888009175110626
encode_2,0.3411729437464141,0.0039935089388217,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.95939721844915,268.551229517882,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3710205375589358,0.4119299151649927,0.348996964225141,0.4191572803676729,0.43225455680007757,0.31970221866154247,0.2757195693441346,0.3233867043263518,0.19995166579976428,0.26012817537377786
encode_3,0.3742948597780132,0.0041131430851342,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",31.83868299669502,596.3459503478392,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.41566831264999726,0.4233832308388566,0.36202553807952337,0.4641998286552619,0.475988106540541,0.36054248156828905,0.30761267435522194,0.375473200028971,0.22121070388513425,0.2780197526333471
encode_4,0.3893385811661992,0.0046771915018181,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",29.716816596001664,404.5137761286565,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.41965576307947694,0.4113932875286258,0.375555347033075,0.5225411826367264,0.5182314614381474,0.3762667157103429,0.3398782647353366,0.38247092113803877,0.20924375232373046,0.25711986292466876
encode_5,0.3982570857316245,0.0046856590839752,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",29.844939950626376,558.6391546108658,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4234313006827457,0.4369259140790249,0.397302930993768,0.5236868939409913,0.5225799582655399,0.39043333509492156,0.3559285609180253,0.3900309713494998,0.19971512602326524,0.25398758460394705
encode_6,0.4149705465545523,0.0046869798531428,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",22.23990340789626,255.18624267231905,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.40154463644168614,0.4397070377176746,0.3736694872296922,0.558813824952844,0.5248596665552044,0.45291937092447976,0.3700567524547498,0.4422718203915581,0.23713507163550518,0.2423893730023334
encode_7,0.4168677767363644,0.0045846319917974,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.508290678780839,139.03298585860742,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3950250182862956,0.4477768914836842,0.38570074062727133,0.5647999002538386,0.5265301860403752,0.4609816438131587,0.36050617370301685,0.437769978248148,0.23756671591315442,0.2478055798193112
encode_8,0.437708427819214,0.0046816930390389,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.007043546039805,41.83629553713771,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.40376383721716735,0.4061406229892684,0.3801627544931039,0.5927764216425829,0.5417524995653931,0.5262341928180561,0.38131345537294886,0.5088114162048076,0.26569890786054967,0.26231716141570616
encode_9,0.4447636816201722,0.0046984577529192,resnet18-ir-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",45.49266630139788,279.09791794316965,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3996416685271153,0.4135258413470626,0.3813244756714675,0.5711401990604728,0.5510494615486372,0.5628386073572123,0.3741624352492742,0.5443869047160601,0.2729749314135548,0.2667437117105613
encode_1,0.2290964484951,0.0041647957718525,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",11.346105846246038,17.167193015301862,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.319515318208479,0.3265696780399108,0.29636922384982417,0.2807277766539147,0.32162677511697674,0.10230812413615245,0.22378751746894032,0.10484662283310374,0.11229335798760931,0.16115427915713446
encode_1.conv,0.2276926046939457,0.0042287416353099,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.06557679883299,15.147674372039472,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.33073743085922613,0.2716582790694352,0.30156014035633216,0.3148543023164743,0.3282801347372247,0.11496149768675962,0.22815716182888024,0.09598829400361697,0.1027803603503514,0.1246404060959358
encode_2,0.2634285113161964,0.0045327190709501,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.005853524359958,27.480866041734213,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3512242297838647,0.3005883520382955,0.32657907208518094,0.4016127395080594,0.3817872967238382,0.15287120539919352,0.25874807446978165,0.12383196629963925,0.12082370254519394,0.1418355772287303
encode_3,0.2585033978963205,0.0046263422155094,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",15.773406111542345,32.11138963920859,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3440440180122698,0.30598448812649237,0.30957248713339974,0.4009399219132726,0.3952481062038216,0.1457387840913729,0.2384236546568626,0.11958225253319248,0.11048952929471276,0.14702230050578408
encode_4,0.2425999141183724,0.0044724623890632,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",17.161690249129894,43.63955789653345,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31611149795436916,0.30367868922181923,0.2699348927481245,0.38388646973618434,0.3862649499154978,0.15419425783024543,0.2080435170954117,0.10967678708556118,0.09423856427196498,0.13329181003026325
encode_5,0.2229748586878386,0.0043817331128305,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.57701967064436,47.07083575572173,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.2871131478709358,0.2930486667423797,0.2414267785229562,0.3370892985336127,0.36440682003756913,0.13220225688840878,0.1722888049873184,0.09450828271373267,0.11309267446655082,0.15115276935108934
encode_6,0.2263526735172825,0.0043181350275675,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.625778128359018,49.80381899278779,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.2944415182391,0.2785700650914019,0.24115684538984136,0.34318901285813513,0.36312466745646776,0.16233043677166245,0.1591136425640809,0.10395599905177308,0.12385017648272707,0.14337137109804426
encode_7,0.2336824738282459,0.0044044096507839,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.94169878986603,42.156729809304046,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.28598956658222047,0.2956706827825487,0.2320967601584523,0.3686739476355751,0.3812366880658088,0.15404559227309886,0.1841232548962951,0.10908286976025149,0.1363443680833698,0.12018093287028997
encode_8,0.2234745729212932,0.0044119275681189,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.787551254155808,33.8992954669629,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.27744243012769043,0.27595176262919036,0.2238213262702034,0.357977882183379,0.3644344992981156,0.15210976286090364,0.16141482051682998,0.10776055864708195,0.14300738486204315,0.08712270655933285
encode_9,0.2458583283064968,0.0044071083022452,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.394746745116272,83.94592303074742,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.2967356194035735,0.2893142230817947,0.24202877641720674,0.38478194273514776,0.38676851032542653,0.18248281414359913,0.177995079273217,0.1359956560107434,0.17345895096146607,0.09834234657270266
encode_1,0.2748708767907596,0.0038068795709834,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",18.6960441324326,75.24962635343476,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.30486708656026995,0.3489039754192254,0.29604792525397666,0.31650047434253537,0.3418699580111366,0.23562582421562855,0.2356076158935711,0.2635536255044094,0.15564976959695187,0.2111678098689647
encode_1.conv,0.3141662082702102,0.0040487762816172,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",21.87052965985079,290.7572905216086,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3721211622454239,0.35090924531828416,0.33485288779856415,0.4053679433732188,0.4092439478713901,0.23984007552221548,0.28579813544389565,0.27847500051879237,0.18636949519256787,0.22273069250213584
encode_2,0.3317522367688764,0.0040132583800099,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.32508819864664,270.7773254856769,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.37149786004681784,0.39259740177771657,0.3122858681482786,0.37190125293977594,0.40422212886120745,0.3249317739152541,0.25936734495908037,0.3590878107836018,0.2201731329872363,0.2532703653975624
encode_3,0.3542368310309122,0.0042847652979869,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.742504915399875,224.7896254073912,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39943810468856056,0.3785374226620045,0.36182263510407475,0.4454075800772935,0.4589392504975302,0.33638185654481867,0.3005507203191881,0.3499472633667911,0.20589109588296345,0.2274358741599025
encode_4,0.3587865303886255,0.004404227007007,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.311902667838874,176.35589862976306,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3957841529828914,0.41946881436117645,0.3535156210024559,0.44289979115937517,0.4727056479909551,0.3526929760929912,0.2680619152345346,0.35866003084984155,0.20156477892914682,0.2649219486675025
encode_5,0.3248085854657546,0.0044045470705621,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.805537283906857,82.60374219992657,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3374764566058891,0.37044681468431473,0.2914335738715705,0.4544215045785913,0.43884667391972604,0.354104577146571,0.2501443771658865,0.32586827494147086,0.16019380540415404,0.17021769699970352
encode_6,0.3358702442325856,0.0044292667246622,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.586607453980831,138.49029416863033,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.33358709540105125,0.35715567008455007,0.26707057693307723,0.4497552220690897,0.4161436806412369,0.4106525735545515,0.2576503445009107,0.37498249373807574,0.21572609114455554,0.1804644540091851
encode_7,0.305626202015283,0.0043310793353736,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.340457971695588,167.62342022519124,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31199390055837867,0.3595491093439709,0.23713376611316664,0.4467485973516614,0.38810192940827637,0.3255627474886452,0.24521161955834173,0.3083734186151814,0.17331604776840234,0.18937669157066084
encode_8,0.2587951697912857,0.0037068902261933,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",2.4634548855109437,7.481338251172525,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.24170079850001752,0.2713046900351653,0.203538226059496,0.357422338047265,0.3312451858566927,0.2837439403388935,0.2620004347483671,0.240155063663785,0.1502522079467678,0.2302446690254928
encode_9,0.2596641695290602,0.0038113854484022,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",1.4180584511156755,1.7377031641892018,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.22670188922996115,0.19972573690953732,0.1961478210033906,0.3083429510172413,0.3040204570626175,0.35424745772966065,0.27757171968536465,0.3067493987433482,0.1775859235352889,0.22483270403418398
encode_1,0.266476186895695,0.0038292924010014,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.546597920479677,61.298086322963854,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3045618993944194,0.3710764541839857,0.3130564194086123,0.31254978899857466,0.35019036688758765,0.184669273450921,0.2460105608932967,0.2044470216617777,0.130004011357434,0.22039257653086236
encode_1.conv,0.292321097476904,0.0042971982935037,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",17.113833081475047,219.0417919258948,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.37905902198380137,0.36650609523103367,0.3445635468522575,0.40242558227435815,0.41132733997055465,0.1834067267479234,0.27805506532809493,0.1650245282578137,0.13726831626440675,0.1980208046037434
encode_2,0.3463844996986823,0.0040812505268925,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.96565350615135,251.07971206141696,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3899938909936583,0.42473369199500055,0.34955284926632113,0.42451675773649067,0.4335494599676184,0.30980584091727725,0.3000526275756967,0.3158932215817879,0.20235721150577907,0.26186943810041063
encode_3,0.3634275511353875,0.0041778213533116,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.13734533122361,380.6999541305423,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39808597233177667,0.41707730153424183,0.37262939783852234,0.44510081544470886,0.4534928315390011,0.34538914849649827,0.3159801776338171,0.3491818203950949,0.21153503327147793,0.26659011428072543
